URL,participantID,variation,order,timeOpened,timeClosed,risk,confidence,ease
http://www.topclassair.com/,Boston,2,1,Wed May 13 2020 12:02:13 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:02:15 GMT-0400 (Eastern Daylight Time),high,2,4
https://vdidr.fimbank.com/vpn/index.html,Boston,2,2,,,null,null,null
http://booking.aviwest.com/login,Boston,2,3,,,null,null,null
http://southvalleyroofing.com/,Boston,2,4,,,null,null,null
https://www.braintreegateway.com/login,Boston,2,5,,,null,null,null
https://www.buyrailings.com/,Boston,2,6,,,null,null,null
https://www.braintreegateway.com/login,London,1,1,Wed May 13 2020 12:02:48 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:02:51 GMT-0400 (Eastern Daylight Time),low,null,4
https://vdidr.fimbank.com/vpn/index.html,London,1,2,,,null,null,null
http://southvalleyroofing.com/,London,1,3,,,null,null,null
http://www.topclassair.com/,London,1,4,Wed May 13 2020 12:02:56 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:02:58 GMT-0400 (Eastern Daylight Time),low,3,4
http://booking.aviwest.com/login,London,1,5,,,null,null,null
https://www.buyrailings.com/,London,1,6,,,null,null,null
http://www.topclassair.com/,Ottawa,2,1,Wed May 13 2020 12:03:52 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:03:54 GMT-0400 (Eastern Daylight Time),low,2,4
https://vdidr.fimbank.com/vpn/index.html,Ottawa,2,2,Wed May 13 2020 12:03:56 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:03:59 GMT-0400 (Eastern Daylight Time),low,3,2
http://booking.aviwest.com/login,Ottawa,2,3,Wed May 13 2020 12:04:02 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:04:04 GMT-0400 (Eastern Daylight Time),low,3,4
http://southvalleyroofing.com/,Ottawa,2,4,Wed May 13 2020 12:04:07 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:04:09 GMT-0400 (Eastern Daylight Time),low,2,4
https://www.braintreegateway.com/login,Ottawa,2,5,Wed May 13 2020 12:04:13 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:04:15 GMT-0400 (Eastern Daylight Time),high,0,3
https://www.buyrailings.com/,Ottawa,2,6,Wed May 13 2020 12:04:19 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:04:22 GMT-0400 (Eastern Daylight Time),low,3,3
https://www.braintreegateway.com/login,Tokyo,1,1,Wed May 13 2020 12:06:44 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:06:47 GMT-0400 (Eastern Daylight Time),high,2,2
https://vdidr.fimbank.com/vpn/index.html,Tokyo,1,2,,Wed May 13 2020 12:06:50 GMT-0400 (Eastern Daylight Time),low,0,1
http://southvalleyroofing.com/,Tokyo,1,3,,Wed May 13 2020 12:06:55 GMT-0400 (Eastern Daylight Time),low,2,0
http://www.topclassair.com/,Tokyo,1,4,,Wed May 13 2020 12:06:58 GMT-0400 (Eastern Daylight Time),low,2,3
http://booking.aviwest.com/login,Tokyo,1,5,Wed May 13 2020 12:07:02 GMT-0400 (Eastern Daylight Time),,null,1,2
https://www.buyrailings.com/,Tokyo,1,6,Wed May 13 2020 12:07:06 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:07:09 GMT-0400 (Eastern Daylight Time),high,2,null
https://www.braintreegateway.com/login,Lima,1,1,,Wed May 13 2020 12:22:00 GMT-0400 (Eastern Daylight Time),low,2,2
https://vdidr.fimbank.com/vpn/index.html,Lima,1,2,,Wed May 13 2020 12:22:03 GMT-0400 (Eastern Daylight Time),low,0,3
http://southvalleyroofing.com/,Lima,1,3,Wed May 13 2020 12:22:06 GMT-0400 (Eastern Daylight Time),Wed May 13 2020 12:22:15 GMT-0400 (Eastern Daylight Time),low,2,0
http://www.topclassair.com/,Lima,1,4,,Wed May 13 2020 12:23:20 GMT-0400 (Eastern Daylight Time),low,1,0
http://booking.aviwest.com/login,Lima,1,5,,Wed May 13 2020 12:23:23 GMT-0400 (Eastern Daylight Time),low,3,4
https://www.buyrailings.com/,Lima,1,6,,Wed May 13 2020 12:23:25 GMT-0400 (Eastern Daylight Time),high,0,0
